Country,Continent,Region,Location_details,Language,Language_iso3,Culture,Genre,Year,Decade,Url,Audio,Speech,Melspec,Chroma,Melodia
United States of America,North America,North America,United States,English,eng,,American Folk,1981.0,1980s,http://www.folkways.si.edu/bobbie-mcgee/the-bosses-lament/american-folk/music/track/smithsonian,14923_SampleAudio.wav,Speech/14923_SampleAudio.csv,Melspec/14923_SampleAudio.csv,Chroma/14923_SampleAudio.csv,Melodia/14923_SampleAudio.csv
United States of America,North America,North America,United States,English,eng,,American Folk|Struggle &amp; Protest,1987.0,1980s,http://www.folkways.si.edu/joe-glazer/senior-citizens-battle-hymn/american-folk-struggle-protest/music/track/smithsonian,14968_SampleAudio.wav,Speech/14968_SampleAudio.csv,Melspec/14968_SampleAudio.csv,Chroma/14968_SampleAudio.csv,Melodia/14968_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/st-cecilias-day-serenade-masquerade/caribbean-world/music/track/smithsonian,15137_SampleAudio.wav,Speech/15137_SampleAudio.csv,Melspec/15137_SampleAudio.csv,Chroma/15137_SampleAudio.csv,Melodia/15137_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/la-rose-la-marguerite-1/caribbean-world/music/track/smithsonian,15138_SampleAudio.wav,Speech/15138_SampleAudio.csv,Melspec/15138_SampleAudio.csv,Chroma/15138_SampleAudio.csv,Melodia/15138_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/la-rose-la-marguerite-2/caribbean-world/music/track/smithsonian,15139_SampleAudio.wav,Speech/15139_SampleAudio.csv,Melspec/15139_SampleAudio.csv,Chroma/15139_SampleAudio.csv,Melodia/15139_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/la-rose-la-marguerite-3/caribbean-world/music/track/smithsonian,15140_SampleAudio.wav,Speech/15140_SampleAudio.csv,Melspec/15140_SampleAudio.csv,Chroma/15140_SampleAudio.csv,Melodia/15140_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/la-rose-la-marguerite-4/caribbean-world/music/track/smithsonian,15141_SampleAudio.wav,Speech/15141_SampleAudio.csv,Melspec/15141_SampleAudio.csv,Chroma/15141_SampleAudio.csv,Melodia/15141_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/work-songs-4/caribbean-world/music/track/smithsonian,15145_SampleAudio.wav,Speech/15145_SampleAudio.csv,Melspec/15145_SampleAudio.csv,Chroma/15145_SampleAudio.csv,Melodia/15145_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/work-songs-5/caribbean-world/music/track/smithsonian,15146_SampleAudio.wav,Speech/15146_SampleAudio.csv,Melspec/15146_SampleAudio.csv,Chroma/15146_SampleAudio.csv,Melodia/15146_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/work-songs-6/caribbean-world/music/track/smithsonian,15147_SampleAudio.wav,Speech/15147_SampleAudio.csv,Melspec/15147_SampleAudio.csv,Chroma/15147_SampleAudio.csv,Melodia/15147_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/work-songs-7/caribbean-world/music/track/smithsonian,15148_SampleAudio.wav,Speech/15148_SampleAudio.csv,Melspec/15148_SampleAudio.csv,Chroma/15148_SampleAudio.csv,Melodia/15148_SampleAudio.csv
Saint Lucia,South America,South America,Saint Lucia,,,,Caribbean|World,1953.0,1950s,http://www.folkways.si.edu/kont-wule-wule-boy/caribbean-world/music/track/smithsonian,15150_SampleAudio.wav,Speech/15150_SampleAudio.csv,Melspec/15150_SampleAudio.csv,Chroma/15150_SampleAudio.csv,Melodia/15150_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/lord-melody/are-you-guilty/caribbean-world/music/track/smithsonian,15180_SampleAudio.wav,Speech/15180_SampleAudio.csv,Melspec/15180_SampleAudio.csv,Chroma/15180_SampleAudio.csv,Melodia/15180_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/lord-melody/canada-so-cold/caribbean-world/music/track/smithsonian,15181_SampleAudio.wav,Speech/15181_SampleAudio.csv,Melspec/15181_SampleAudio.csv,Chroma/15181_SampleAudio.csv,Melodia/15181_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1958.0,1950s,http://www.folkways.si.edu/lord-melody/carnival-proclamation/caribbean-world/music/track/smithsonian,15184_SampleAudio.wav,Speech/15184_SampleAudio.csv,Melspec/15184_SampleAudio.csv,Chroma/15184_SampleAudio.csv,Melodia/15184_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/lord-melody/antiguan-girls/caribbean-world/music/track/smithsonian,15192_SampleAudio.wav,Speech/15192_SampleAudio.csv,Melspec/15192_SampleAudio.csv,Chroma/15192_SampleAudio.csv,Melodia/15192_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/lord-melody/crazy-love/caribbean-world/music/track/smithsonian,15193_SampleAudio.wav,Speech/15193_SampleAudio.csv,Melspec/15193_SampleAudio.csv,Chroma/15193_SampleAudio.csv,Melodia/15193_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/lord-melody/cowboy-sparrow/caribbean-world/music/track/smithsonian,15195_SampleAudio.wav,Speech/15195_SampleAudio.csv,Melspec/15195_SampleAudio.csv,Chroma/15195_SampleAudio.csv,Melodia/15195_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/lord-melody/mr-melody/caribbean-world/music/track/smithsonian,15196_SampleAudio.wav,Speech/15196_SampleAudio.csv,Melspec/15196_SampleAudio.csv,Chroma/15196_SampleAudio.csv,Melodia/15196_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/the-mighty-wrangler-with-the-frankie-francis-orchestra/thelma/caribbean-world/music/track/smithsonian,15206_SampleAudio.wav,Speech/15206_SampleAudio.csv,Melspec/15206_SampleAudio.csv,Chroma/15206_SampleAudio.csv,Melodia/15206_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/small-island-pride-march-of-dimes-and-the-roderick-borde-orchestra/calypso-cha-cha/caribbean-world/music/track/smithsonian,15207_SampleAudio.wav,Speech/15207_SampleAudio.csv,Melspec/15207_SampleAudio.csv,Chroma/15207_SampleAudio.csv,Melodia/15207_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1957.0,1950s,http://www.folkways.si.edu/mighty-bomber/celita/caribbean-world/music/track/smithsonian,15213_SampleAudio.wav,Speech/15213_SampleAudio.csv,Melspec/15213_SampleAudio.csv,Chroma/15213_SampleAudio.csv,Melodia/15213_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1959.0,1950s,http://www.folkways.si.edu/mighty-sparrow/country-girl/caribbean-world/music/track/smithsonian,15223_SampleAudio.wav,Speech/15223_SampleAudio.csv,Melspec/15223_SampleAudio.csv,Chroma/15223_SampleAudio.csv,Melodia/15223_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1959.0,1950s,http://www.folkways.si.edu/mighty-sparrow/stella/caribbean-world/music/track/smithsonian,15225_SampleAudio.wav,Speech/15225_SampleAudio.csv,Melspec/15225_SampleAudio.csv,Chroma/15225_SampleAudio.csv,Melodia/15225_SampleAudio.csv
Trinidad and Tobago,South America,South America,Trinidad and Tobago,,,African Caribbean,Caribbean|World,1959.0,1950s,http://www.folkways.si.edu/lord-melody/si-senor/caribbean-world/music/track/smithsonian,15233_SampleAudio.wav,Speech/15233_SampleAudio.csv,Melspec/15233_SampleAudio.csv,Chroma/15233_SampleAudio.csv,Melodia/15233_SampleAudio.csv
